Designator,Footprint,Quantity,Value,LCSC Part #
"C201, C202, C203, C204, C205, C206, C207, C208, C209, C210, C211, C212, C213, C214, C215, C216, C217, C218, C219, C220, C221, C222, C223, C224, C225, C226, C227, C228, C229, C230, C231, C232, C233, C234, C235, C236, C41, C42, C43, C44, C45, C46, C47",0603,43,100nF,C30926
"C37, C38",0805,2,1uF,C28323
"C39, C40",1206,2,10uF,C89632
"D1, D10, D11, D2, D3, D4, D5, D6, D7, D8, D9",0603,11,~,C2286
FB1,0603,1,100R,C76808
"H1, H10, H11, H12, H13, H14, H15, H16, H17, H18, H19, H2, H20, H21, H22, H23, H24, H25, H26, H27, H28, H29, H3, H30, H31, H32, H33, H34, H35, H36, H37, H38, H39, H4, H40, H41, H42, H43, H44, H45, H46, H47, H48, H49, H5, H50, H51, H52, H53, H54, H55, H56, H57, H58, H59, H6, H60, H61, H62, H63, H64, H7, H8, H9",SOT-23,64,SM351LT,C22466024
"IO1, IO2, IO3, IO4",TSSOP-24_4.4x7.8mm_P0.65mm,4,TCA9535PWR,C22396388
J3,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_16P,C165948
"R10, R11, R9",0603,3,3K3,C22978
"R12, R13, R15, R16, R17, R18, R19, R20, R21, R22, R23, R24",0603,12,1K,C21190
"R14, R5, R6",0603,3,10K,C2930027
"R7, R8",0603,2,5K1,C23186
"SW1, SW2, SW3, SW4, SW5",SW_SPST_TL3342,5,SW_Push,C318884 
U1,LQFP-48_7x7mm_P0.5mm,1,STM32F030C6Tx,C62514
U3,SOT-666,1,USBLC6-2P6,C15999
U4,SOT-23-3,1,XC6206PxxxMR,C5446
U5,TSSOP-14_4.4x5mm_P0.65mm,1,MCP2221AxST,C130462
